fid,id,tipus,estat,altura,nom,fid_2,OBJECTID,CODI_ESPAI,NOM_ESPAI,ESCALA_DEL,CODI_GRUP,CODI_PNAC,NOM_PNAC,CODI_PNAT,NOM_PNAT,CODI_PNIN,NOM_PNIN,CODI_RNI,NOM_RNI,CODI_RNP,NOM_RNP,CODI_RNFS,NOM_RNFS,CODI_ZPP,NOM_ZPP,ANY_APROV,NORMATIVA,LINK_NORM,AMBIT,CODI_CDDA,AREA_HA,PERIM_M,CODI_PEIN,NOM_PEIN,OBS_ESCALA,PLANIF,DATA_DOGC,NUM_DOGC,SUP_TERR,SUP_MARI,AREA_OFI,BOE_RAM,CODI_RAM,MARI_RAM,NOM_RAM,NORMA,URL,CODI_XN2,FND_ZEC,FND_ZEPA,LIC_ZEC,NOM_XN2,SUP_ZEC,SUP_ZEPA,TIPOLOGIA,ZEPA,layer,path,distance
1,158197,eso,nap,0,Planta fotovoltaica dels Magrells,924,"1690",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510122,26.87,2709.24,EBI,Riberes i illes de l'Ebre,Sense observacions,Sense planificaci�,No publicat,"-",246.04,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,1843.47864397786
2,158275,eso,nap,0,Estació fotovoltaica de Llaberia,1524,"3209",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,,24275.271,187176.28,,,,,,,,,,,,,,,,ES5140009,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140009,https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140009,S,Tivissa-Vandellós-Llaberia,24532.46,24532.46,Espais de muntanya litoral,S,ESPAISNATURALS_XARNAT_2000,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_XARNAT_2000/Shapefile/ESPAISNATURALS_XARNAT_2000.shp,309.091804908987
3,158438,eso,nap,0,Parc solar de Juncosa,716,"1258",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510191,11762.17,78650.38,MST,Serra del Montsant,Sense observacions,Sense planificaci�,No publicat,"-",11762.17,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,2808.71990267398
4,158660,eso,nap,0,Parc solar Ramon Escriche,415,"1225",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510158,149.52,14205.93,EBX,Ribera de l'Ebre a Flix,Sense observacions,Sense planificaci�,No publicat,"-",254,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,0
5,158661,eso,nap,0,Parc solar Ramon Escriche,415,"1225",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510158,149.52,14205.93,EBX,Ribera de l'Ebre a Flix,Sense observacions,Sense planificaci�,No publicat,"-",254,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,856.750573219663
6,159150,eso,nap,0,Planta solar fotovoltaica de Nufri SAT,685,"1695",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510252,156.58,6610.05,EIV,Estany d'Ivars-Vilasana,Sense observacions,Sense planificaci�,No publicat,"-",156.58,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,7211.87652111459
7,159453,eso,nap,0,Central Termosolar de les Borges Blanques,851,"1097",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510210,27.57,4615.56,TGT,Tossals de Torregrossa,Sense observacions,Sense planificaci�,No publicat,"-",69.91,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,3949.21227790942
8,159498,eso,nap,0,Planta fotovoltaica de Miralcamp,843,"1508",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510210,12.34,2158.92,TGT,Tossals de Torregrossa,Sense observacions,Sense planificaci�,No publicat,"-",69.91,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,1118.75771377144
9,159546,eso,nap,0,Central Termosolar de les Borges Blanques,851,"1097",,,1:50.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510210,27.57,4615.56,TGT,Tossals de Torregrossa,Sense observacions,Sense planificaci�,No publicat,"-",69.91,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,3865.03253187309
10,160624,eso,nap,0,Planta fotovoltaica de Sant Dalmai,819,"1587",,,1:5.000,,,,,,,,,,,,,,,,,,,Terrestre,ES510217,200.38,6602.98,CSD,Volc� de la Crosa,Sense observacions,Pla especial de protecci� del medi natural i del paisatge,10/01/96,"2152",200.38,0,,,,,,,,,,,,,,,,,ESPAISNATURALS_PEIN,C:/Users/aniay/Desktop/PROYECTO/PEC3_Diseño/descargas 3.2/ESPAISNATURALS_PEIN/ESPAISNATURALS_PEIN.shp,826.909124688286
