fid;id;tipus;estat;altura;Nombre planta solar;AMBIT;AREA_HA;CODI_XN2;ESCALA_DEL;FND_ZEC;FND_ZEPA;LIC_ZEC;Nombre Red NATURA 2000;Nombre PEIN;Nombre ENPE;OBJECTID;PERIM_M;SUP_ZEC;SUP_ZEPA;TIPOLOGIA;ZEPA;Distancia (mts.)
1;158197;eso;nap;0;Planta fotovoltaica dels Magrells;Terrestre;2,69E+16;ES5140010;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140010;;S;Riberes i Illes de l'Ebre;Riberes i Illes de l'Ebre;Reserva Natural de Fauna Salvatge de les Illes de l'Ebre;3252;2,71E+18;4873300000;0;Espais d'aiguamolls litorals;No;1843,47
2;158275;eso;nap;0;Estació fotovoltaica de Llaberia;Terrestre;2,43E+19;ES5140009;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140009;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140009;S;Tivissa-Vandellós-Llaberia;Serra de Llaberia;;3209;1,87E+20;2,45E+11;2,45E+11;Espais de muntanya litoral;S;309,09
3;158438;eso;nap;0;Parc solar de Juncosa;Terrestre;1,95E+19;ES5140017;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140017;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140017;S;Serra de Montsant-Pas de l'Ase;Serra del Montsant;;2893;1,49E+20;1,95E+11;1,95E+11;Espais de muntanya interior;S;2808,72
4;158660;eso;nap;0;Parc solar Ramon Escriche;Terrestre;1,50E+17;ES5140010;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140010;;S;Riberes i Illes de l'Ebre;Ribera de l'Ebre a Flix;Reserva Natural de Fauna Salvatge de la ribera de l'Ebre a Flix;3129;1,42E+19;4873300000;0;Espais d'aiguamolls litorals;No;0
5;158661;eso;nap;0;Parc solar Ramon Escriche;Terrestre;1,50E+17;ES5140010;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5140010;;S;Riberes i Illes de l'Ebre;Ribera de l'Ebre a Flix;Reserva Natural de Fauna Salvatge de la ribera de l'Ebre a Flix;3129;1,42E+19;4873300000;0;Espais d'aiguamolls litorals;No;856,75
6;159150;eso;nap;0;Planta solar fotovoltaica de Nufri SAT;Terrestre;1,57E+17;ES5130018;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5130018;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5130018;S;Estany d'Ivars - Vilasana;Estany d'Ivars - Vilasana;;3354;6,61E+18;1565800000;1565800000;Espais d'aigües continental;S;7211,87
7;159453;eso;nap;0;Central Termosolar de les Borges Blanques;Terrestre;5,82E+18;ES5130040;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5130040;;S;Secans de Mas de Melons-Alfés;Mas de Melons-Alfés;Reserva Natural Parcial de Mas de Melons;3529;4,88E+19;64201900000;0;Espais de plana agrícola;No;3952,75
8;159498;eso;nap;0;Planta fotovoltaica de Miralcamp;Terrestre;6,51E+18;ES0000479;1:50.000;;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES0000479;No;Secans de Belianes-Preixana;Secans de Belianes-Preixana;;3530;5,97E+19;0;65056000000;Espais de plana agrícola;S;4830,73
9;159546;eso;nap;0;Central Termosolar de les Borges Blanques;Terrestre;4,30E+16;ES5130001;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5130001;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5130001;S;Els Bessons;els Bessons;;2996;2,55E+18;4248500000;4248500000;Espais de plana agrícola;S;4266,23
10;160624;eso;nap;0;Planta fotovoltaica de Sant Dalmai;Terrestre;3,95E+17;ES5120017;1:50.000;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5120017;https://natura2000.eea.europa.eu/Natura2000/SDF.aspx?site=ES5120017;S;;Volcá de la Crosa;;3463;3,63E+19;4522300000;4522300000;Espais d'aigües continental;S;829,07
